time_s,altitude_km,velocity_ms,mach,heat_flux_Wm2
3.947863220002809204e+00,1.171242810702675570e+02,7.599954814870460723e+03,2.772677960340326919e+01,1.490648864414624222e+04
3.982192501520652517e+00,1.170992748187046857e+02,7.599954657666051389e+03,2.772677902987722831e+01,1.493172022754876525e+04
4.016521783748614460e+00,1.170742685671417860e+02,7.599954499914709231e+03,2.772677845435582000e+01,1.495699580274125765e+04
4.050851066689144631e+00,1.170492623155788863e+02,7.599954341614533405e+03,2.772677787683210937e+01,1.498231542204386096e+04
4.085180350344702838e+00,1.170242560640160150e+02,7.599954182763615790e+03,2.772677729729914020e+01,1.500767913832115664e+04
4.119509634717816837e+00,1.169992498124531153e+02,7.599954023360037354e+03,2.772677671574991010e+01,1.503308700496901474e+04
4.153838919810962871e+00,1.169742435608902156e+02,7.599953863401876333e+03,2.772677613217740245e+01,1.505853907590227936e+04
4.188168205626626062e+00,1.169492373093273301e+02,7.599953702887204599e+03,2.772677554657458998e+01,1.508403540554258325e+04
4.222497492167360811e+00,1.169242310577644446e+02,7.599953541814084929e+03,2.772677495893439925e+01,1.510957604880689178e+04
4.256826779435648689e+00,1.168992248062015591e+02,7.599953380180574641e+03,2.772677436924974614e+01,1.513516106109627617e+04
4.291156067434061860e+00,1.168742185546386594e+02,7.599953217984723778e+03,2.772677377751351813e+01,1.516079049828535972e+04
4.325485356165120088e+00,1.168492123030757597e+02,7.599953055224576019e+03,2.772677318371857069e+01,1.518646441671186949e+04
4.359814645631352015e+00,1.168242060515128884e+02,7.599952891898168673e+03,2.772677258785775223e+01,1.521218287316688111e+04
4.394143935835355563e+00,1.167991997999499887e+02,7.599952728003530865e+03,2.772677198992386849e+01,1.523794592488517992e+04
4.428473226779678029e+00,1.167741935483870890e+02,7.599952563538687173e+03,2.772677138990971457e+01,1.526375362953616968e+04
4.462802518466874702e+00,1.167491872968242035e+02,7.599952398501651260e+03,2.772677078780803939e+01,1.528960604521488312e+04
4.497131810899570148e+00,1.167241810452613180e+02,7.599952232890434971e+03,2.772677018361159185e+01,1.531550323043372555e+04
4.531461104080338309e+00,1.166991747936984183e+02,7.599952066703038327e+03,2.772676957731307823e+01,1.534144524411401289e+04
4.565790398011762008e+00,1.166741685421355328e+02,7.599951899937459530e+03,2.772676896890519060e+01,1.536743214557813917e+04
4.600119692696492457e+00,1.166491622905726331e+02,7.599951732591684049e+03,2.772676835838058196e+01,1.539346399454205311e+04
4.634448988137110703e+00,1.166241560390097618e+02,7.599951564663695535e+03,2.772676774573189817e+01,1.541954085110776941e+04
4.668778284336286610e+00,1.165991497874468621e+02,7.599951396151467634e+03,2.772676713095174250e+01,1.544566277575629283e+04
4.703107581296639417e+00,1.165741435358839624e+02,7.599951227052967624e+03,2.772676651403270043e+01,1.547182982934084430e+04
4.737436879020797242e+00,1.165491372843210911e+02,7.599951057366156419e+03,2.772676589496733257e+01,1.549804207308019249e+04
4.771766177511457485e+00,1.165241310327581914e+02,7.599950887088985837e+03,2.772676527374816757e+01,1.552429956855235287e+04
4.806095476771266917e+00,1.164991247811952917e+02,7.599950716219404057e+03,2.772676465036771987e+01,1.555060237768832485e+04
4.840424776802881190e+00,1.164741185296324062e+02,7.599950544755347437e+03,2.772676402481846125e+01,1.557695056276618379e+04
4.874754077609026126e+00,1.164491122780695207e+02,7.599950372694750513e+03,2.772676339709285287e+01,1.560334418640546210e+04
4.909083379192355601e+00,1.164241060265066352e+02,7.599950200035536000e+03,2.772676276718332034e+01,1.562978331156140848e+04
4.943412681555614085e+00,1.163990997749437355e+02,7.599950026775622064e+03,2.772676213508226795e+01,1.565626800151975840e+04
4.977741984701495426e+00,1.163740935233808358e+02,7.599949852912918686e+03,2.772676150078206803e+01,1.568279831989151171e+04
5.012071288632702348e+00,1.163490872718179645e+02,7.599949678445328573e+03,2.772676086427507158e+01,1.570937433060795047e+04
