cellnumber     x-coordinate     y-coordinate     z-coordinate     y-coordinate pressure-coefficient 
       106 -6.185840964E-01  3.614230871E+00  6.400256157E-01  3.624308586E+00  2.356279755E+02 
       107 -1.020558715E+00  2.901288748E+00  8.328903317E-01  2.908139229E+00  2.183606262E+02 
       108 -1.018240094E+00  2.062466860E+00  1.092177391E+00  2.066353559E+00  3.922955933E+02 
       109 -1.139198661E+00  2.398479223E+00  1.000893593E+00  2.399981737E+00  2.767307434E+02 
       110 -1.408239961E+00  1.845413685E+00  1.118480444E+00  1.848668575E+00  1.583105927E+02 
       111 -9.140712619E-01  2.150130272E+00  1.084297538E+00  2.151915550E+00  3.802026367E+02 
       112 -9.385433197E-01  2.821513176E+00  8.856801391E-01  2.819554090E+00  2.435721283E+02 
       113 -1.147585869E+00  9.366204143E-01  1.323602200E+00  9.463333488E-01  3.962151184E+02 
       114 -6.618890762E-01  3.641366720E+00  5.955649018E-01  3.647880793E+00  2.781326294E+02 
       115 -1.005582213E+00  2.480145693E+00  9.846665263E-01  2.483824968E+00  2.901618958E+02 
       116 -1.124575734E+00  9.653456211E-01  1.322012305E+00  9.678772688E-01  3.889967041E+02 
       117 -1.057408690E+00  2.013676405E+00  1.102541327E+00  2.014214277E+00  3.772806702E+02 
       118 -8.500542641E-01  2.549870729E+00  9.810509682E-01  2.557183027E+00  3.001231995E+02 
       119 -1.170982838E+00  1.073081374E+00  1.295703530E+00  1.068779349E+00  3.897178345E+02 
       120 -1.262136459E+00  1.495702386E+00  1.223284364E+00  1.496354580E+00  4.275170593E+02 
       121 -1.056514382E+00  1.462223411E+00  1.227775216E+00  1.465468526E+00  3.969314575E+02 
       122 -9.583768845E-01  1.750382066E+00  1.184459686E+00  1.750577450E+00  4.865030212E+02 
       123 -9.504275322E-01  1.970148683E+00  1.124724865E+00  1.969257355E+00  4.409291077E+02 
       124 -1.028737187E+00  1.470846772E+00  1.232021809E+00  1.471936107E+00  3.849578857E+02 
       125 -1.300180435E+00  2.009918928E+00  1.099215627E+00  2.007220984E+00  2.753534546E+02 
       126 -9.749636650E-01  2.872267962E+00  8.624419570E-01  2.877067804E+00  2.181842499E+02 
       127 -1.328340292E+00  1.989519715E+00  1.098847985E+00  1.995363235E+00  2.643017273E+02 
       128 -8.024488091E-01  3.107777834E+00  8.048698306E-01  3.119072676E+00  2.187338409E+02 
       129 -9.157590270E-01  3.151311874E+00  7.534568906E-01  3.157744646E+00  2.707334290E+02 
       130 -1.075190544E+00  2.228177786E+00  1.050515294E+00  2.222150803E+00  3.209576111E+02 
       131 -1.026551723E+00  2.448485374E+00  9.928849339E-01  2.460079670E+00  2.865764771E+02 
       132 -1.276996136E+00  1.543321013E+00  1.215339541E+00  1.546095252E+00  3.411439514E+02 
       133 -1.064182639E+00  2.051128626E+00  1.093615532E+00  2.042303801E+00  3.696316223E+02 
       134 -1.262614250E+00  2.070164919E+00  1.086802006E+00  2.066896439E+00  2.863506470E+02 
       135 -1.215542912E+00  1.550628185E+00  1.208106875E+00  1.549904823E+00  4.808064270E+02 
       136 -1.331321359E+00  1.947365403E+00  1.113063931E+00  1.946630836E+00  2.476916656E+02 
       137 -7.666144967E-01  3.124238968E+00  8.066987991E-01  3.125777483E+00  2.243800201E+02 
       138 -1.230157614E+00  2.047358990E+00  1.096268892E+00  2.044866085E+00  2.964286194E+02 
       139 -1.074386716E+00  1.500363469E+00  1.216540694E+00  1.505486369E+00  4.773769531E+02 
       140 -7.454528213E-01  3.102599144E+00  8.208227158E-01  3.109547615E+00  2.292788391E+02 
       141 -6.626369953E-01  3.415492296E+00  7.227888107E-01  3.415496111E+00  2.217501678E+02 
       142 -1.185723305E+00  1.569923401E+00  1.202094555E+00  1.564376235E+00  5.112941589E+02 
       143 -8.244037628E-01  3.000574112E+00  8.397521377E-01  3.005571365E+00  2.285078888E+02 
       144 -1.324348927E+00  1.866564631E+00  1.140036821E+00  1.879164457E+00  2.371370850E+02 
       145 -7.654449344E-01  3.037960052E+00  8.394031525E-01  3.044298410E+00  2.330912476E+02 
       146 -1.004341602E+00  2.328171253E+00  1.025546074E+00  2.326226711E+00  3.137978516E+02 
       147 -1.708246112E+00  1.399516702E+00  4.745473564E-01  1.402217388E+00  4.004482117E+02 
       148 -6.063085794E-01  3.671317339E+00  6.114808321E-01  3.678466797E+00  2.545205994E+02 
       149 -8.824524879E-01  3.078164816E+00  8.003485799E-01  3.081708193E+00  2.169370422E+02 
       150 -1.367773056E+00  1.896726131E+00  1.119307160E+00  1.908651471E+00  2.094132233E+02 
       151 -1.030432105E+00  2.295065880E+00  1.033625603E+00  2.301397562E+00  3.118466187E+02 
       152 -1.036161065E+00  2.870233297E+00  8.411395550E-01  2.871718168E+00  2.266321869E+02 
       153 -8.224027753E-01  2.739324570E+00  9.276928902E-01  2.743122578E+00  2.751540527E+02 
       154 -1.014797568E+00  2.100084543E+00  1.083187342E+00  2.108923674E+00  3.581152649E+02 
       155 -1.131769180E+00  2.074436426E+00  1.089234471E+00  2.077732801E+00  3.210201721E+02 
       156 -9.026119113E-01  2.508555651E+00  9.836152196E-01  2.510898590E+00  3.014494934E+02 
       157 -1.134204745E+00  1.267177105E+00  1.260119796E+00  1.271945477E+00  4.166753845E+02 
       158 -1.109147191E+00  3.148917437E+00  4.328519106E-01  3.158253431E+00  2.126955719E+02 
       159 -1.087805748E+00  1.642983437E+00  1.185283661E+00  1.648452163E+00  5.084689636E+02 
       160 -1.152582765E+00  2.482443810E+00  9.681310654E-01  2.491167545E+00  2.473911133E+02 
       161 -1.049133301E+00  1.831836820E+00  1.144433618E+00  1.837496877E+00  4.433571472E+02 
       162 -1.086223483E+00  2.190582275E+00  1.059964657E+00  2.193954229E+00  3.158150330E+02 
       163 -5.907116532E-01  3.755321503E+00  5.615125299E-01  3.766653061E+00  2.598913574E+02 
       164 -8.844690919E-01  2.546092510E+00  9.753000140E-01  2.554349422E+00  2.948341064E+02 
       165 -8.368428349E-01  2.523705721E+00  9.930537343E-01  2.524621487E+00  3.105273438E+02 
       166 -6.866508126E-01  3.880744696E+00  2.549414635E-01  3.888993979E+00  1.979788361E+02 
       167 -1.628728747E+00  1.948938847E+00  6.531988978E-01  1.961060047E+00  1.699544220E+02 
       168 -1.016761184E+00  1.854263663E+00  1.142032862E+00  1.866519213E+00  4.571149597E+02 
       169 -8.596671224E-01  3.009939909E+00  8.305415511E-01  3.012595654E+00  2.252656708E+02 
       170 -1.601084828E+00  2.019680023E+00  6.415842175E-01  2.027876377E+00  2.100388184E+02 
       171 -7.999432087E-01  3.035524607E+00  8.317620754E-01  3.042472124E+00  2.297422638E+02 
       172 -9.009646773E-01  2.219399214E+00  1.067960382E+00  2.225036860E+00  3.628644104E+02 
       173 -1.167134166E+00  1.142213702E+00  1.283226609E+00  1.140424371E+00  3.843546448E+02 
       174 -1.189214587E+00  1.115211725E+00  1.287953019E+00  1.120172858E+00  3.863393555E+02 
       175 -1.015621901E+00  2.253022194E+00  1.044534683E+00  2.256210804E+00  3.221442566E+02 
       176 -7.255227566E-01  3.821146727E+00  2.765005827E-01  3.832223654E+00  1.962482605E+02 
       177 -9.759220481E-01  2.709678650E+00  9.184120297E-01  2.708490372E+00  2.564229431E+02 
       178 -9.778971672E-01  1.945971966E+00  1.125405788E+00  1.951124787E+00  4.191228943E+02 
       179 -9.819878936E-01  2.901122332E+00  8.493357301E-01  2.898708820E+00  2.229052277E+02 
       180 -1.314379811E+00  1.691032290E+00  1.185978055E+00  1.694185495E+00  2.632039795E+02 
       181 -6.058470607E-01  3.481927156E+00  7.214813232E-01  3.485913515E+00  2.146702423E+02 
       182 -1.285390377E+00  1.718770027E+00  1.178428769E+00  1.714988708E+00  3.417352905E+02 
       183 -7.408615947E-01  3.327740908E+00  7.309824824E-01  3.329791307E+00  2.202303467E+02 
       184 -6.831898689E-01  3.609226227E+00  6.045622826E-01  3.623775482E+00  2.775350647E+02 
       185 -1.143743038E+00  2.015936613E+00  1.103544831E+00  2.017380953E+00  3.265774231E+02 
       186 -7.663707137E-01  3.298871994E+00  7.362076640E-01  3.304906607E+00  2.205797729E+02 
       187 -1.357813478E+00  1.870901108E+00  1.132171273E+00  1.872429013E+00  2.152801208E+02 
       188 -1.075511932E+00  1.576023698E+00  1.199893475E+00  1.579246283E+00  4.882667542E+02 
       189 -1.423514366E+00  1.788226485E+00  1.134809971E+00  1.786320686E+00  1.702281799E+02 
       190 -5.111218691E-01  3.909432411E+00  4.936794341E-01  3.912588596E+00  2.587731018E+02 
       191 -8.787501454E-01  2.395870924E+00  1.021208882E+00  2.398094654E+00  3.273139038E+02 
       192 -1.574493885E+00  2.088429451E+00  6.334148049E-01  2.092904329E+00  2.138970642E+02 
       193 -8.957912922E-01  2.368556023E+00  1.025379777E+00  2.377608299E+00  3.346339722E+02 
       194 -9.767548442E-01  2.244439840E+00  1.048661232E+00  2.250905037E+00  3.407280579E+02 
       195 -1.150485039E+00  2.455836058E+00  9.792029262E-01  2.454600573E+00  2.430090485E+02 
       196 -7.481299043E-01  3.163767099E+00  7.968516350E-01  3.171641350E+00  2.242967834E+02 
       197 -1.068415046E+00  1.417498469E+00  1.235781193E+00  1.421515346E+00  4.608163452E+02 
       198 -1.147063732E+00  2.113173485E+00  1.080243230E+00  2.122174501E+00  3.162091370E+02 
       199 -8.565778732E-01  3.050838709E+00  8.162484169E-01  3.061213970E+00  2.221053009E+02 
       200 -1.244112849E+00  1.990196228E+00  1.111206412E+00  1.992428780E+00  2.827237244E+02 
       201 -5.279553533E-01  3.828750849E+00  5.527566075E-01  3.838319778E+00  2.529600677E+02 
       202 -1.131001830E+00  1.191762447E+00  1.275890708E+00  1.200201631E+00  4.393671570E+02 
       203 -8.298535943E-01  2.582352638E+00  9.763731956E-01  2.585612535E+00  3.015362854E+02 
       204 -1.113980174E+00  1.025939941E+00  1.311777949E+00  1.029856920E+00  3.872215576E+02 
       205 -6.923391819E-01  3.387488127E+00  7.222386003E-01  3.394492865E+00  2.154687805E+02 
       206 -1.267725825E+00  1.884484768E+00  1.138283253E+00  1.892604589E+00  2.751700439E+02 
       207 -1.036114335E+00  2.223615408E+00  1.051646709E+00  2.218778610E+00  3.296814270E+02 
       208 -1.111862063E+00  1.831666589E+00  1.144062638E+00  1.837369204E+00  4.204169617E+02 
       209 -9.708113670E-01  2.315240622E+00  1.030195832E+00  2.321541309E+00  3.132667236E+02 
       210 -7.502703667E-01  3.417892456E+00  6.846842170E-01  3.421784401E+00  2.707423706E+02 
       211 -4.679250419E-01  3.899816751E+00  5.416822433E-01  3.901772738E+00  2.337564392E+02 
       212 -9.817919135E-01  1.570543647E+00  1.224373937E+00  1.573160172E+00  4.653115845E+02 
       213 -8.563957214E-01  3.217478752E+00  7.465350628E-01  3.214760542E+00  2.451338196E+02 
       214 -1.053503275E+00  2.126758814E+00  1.075397611E+00  2.130097151E+00  3.355170593E+02 
       215 -1.116415024E+00  1.902130604E+00  1.128694654E+00  1.913269877E+00  3.894310608E+02 
       216 -1.007260680E+00  2.854122877E+00  8.619100451E-01  2.847916603E+00  2.357618713E+02 
       217 -1.123136163E+00  1.616416454E+00  1.189926744E+00  1.622220755E+00  4.929343262E+02 
       218 -7.234461904E-01  2.951333761E+00  8.874053359E-01  2.946234226E+00  2.657287903E+02 
       219 -1.024265885E+00  2.183970690E+00  1.061553001E+00  2.189045191E+00  3.334773560E+02 
       220 -8.266029954E-01  3.132838249E+00  7.905015945E-01  3.137867689E+00  2.181672821E+02 
       221 -1.174737573E+00  2.436367750E+00  9.804934859E-01  2.439999580E+00  2.553035431E+02 
       222 -1.347752094E+00  1.711356163E+00  1.181437612E+00  1.709428430E+00  2.234382324E+02 
       223 -6.126797199E-01  3.701145887E+00  5.862874389E-01  3.711787224E+00  2.552648468E+02 
       224 -1.222938657E+00  2.017349005E+00  1.104256153E+00  2.022358418E+00  2.837867737E+02 
       225 -8.776304126E-01  2.452198982E+00  1.004873276E+00  2.455623865E+00  3.129439087E+02 
       226 -8.200526237E-01  3.172238588E+00  7.760513425E-01  3.185103655E+00  2.153705597E+02 
       227 -7.150018215E-01  3.169075966E+00  8.053262830E-01  3.168461084E+00  2.304755402E+02 
       228 -1.009171128E+00  1.962044835E+00  1.116487384E+00  1.965962052E+00  4.097134399E+02 
       229 -9.580348134E-01  2.273552656E+00  1.042401791E+00  2.272739649E+00  3.372799072E+02 
       230 -8.804458976E-01  2.484189510E+00  9.944304824E-01  2.492624044E+00  2.982868652E+02 
       231 -8.795957565E-01  2.336729288E+00  1.038589478E+00  2.332208872E+00  3.499100952E+02 
       232 -1.052769542E+00  2.162680626E+00  1.066709638E+00  2.173077583E+00  3.284093018E+02 
       233 -9.358844161E-01  2.581509829E+00  9.594987035E-01  2.578438759E+00  2.852208557E+02 
       234 -9.295470715E-01  2.272729158E+00  1.045741558E+00  2.272122145E+00  3.476166992E+02 
       235 -8.600106239E-01  2.744934082E+00  9.186730385E-01  2.747329950E+00  2.707537537E+02 
       236 -9.721029401E-01  2.808314085E+00  8.865921497E-01  2.809654713E+00  2.409862061E+02 
       237 -1.131236911E+00  1.063907027E+00  1.301393509E+00  1.058332205E+00  3.933053894E+02 
       238 -1.126477599E+00  1.938168049E+00  1.121010780E+00  1.940297961E+00  3.743995361E+02 
       239 -1.118512869E+00  2.131957293E+00  1.075001001E+00  2.136262417E+00  3.161508179E+02 
